timestamp,type,chatId,message,response,intent,score
2025-06-13T11:28:38.114Z,start,e61bb75c-a236-46b7-8a78-3dcfac6529cc,Chat started,Welcome message,greeting,1
2025-06-13T11:28:45.731Z,start,8a8bf615-a742-41b5-981f-e2c8bcd4a76a,Chat started,Welcome message,greeting,1
2025-06-13T11:28:53.994Z,start,0d309d53-f38f-4ad6-a289-a761bdd8c876,Chat started,Welcome message,greeting,1
2025-06-13T11:28:56.757Z,message,,ád,Một vài cặp “khó ở”:
• Retinol ↔ Benzoyl Peroxide: oxy hóa nhau → giảm hiệu quả.
• AHA/BHA ↔ Vitamin C L-AA: pH chênh, dễ kích ứng.
• Niacinamide <6% ↔ Vitamin C L-AA: ổn, nhưng nên cách 10-15 phút nếu da nhạy cảm.

Nếu bạn đã trót mix, để ý dấu hiệu châm chích và phục hồi với kem chứa ceramide.,ingredient_incompatibility,0.5
2025-06-19T15:39:26.906Z,start,88ec3c43-fb44-4abd-b7ab-87d91c01540f,Chat started,Welcome message,greeting,1
2025-06-19T15:39:29.197Z,start,b3b8b10f-ac9a-4407-8bfc-23209c68c4a6,Chat started,Welcome message,greeting,1
2025-06-19T16:02:40.459Z,start,c68d2336-b6c7-4f9f-9713-2209e6e0d2c0,Chat started,Welcome message,greeting,1
2025-06-19T16:02:41.305Z,start,5769cc0b-130e-4c77-b177-6ae963a75c92,Chat started,Welcome message,greeting,1
2025-06-19T17:24:25.016Z,start,6e943504-f536-4000-80f3-b994089d88cc,Chat started,Welcome message,greeting,1
